,start,end,taxis,radius,matching,dispatching,gini,atkinson,20/20,total_utility,missed_requests,missed_requests_perc,idle_drivers,idle_drivers_perc
1,2020-1-6,2020-1-13,10000,25,poorest,stay,0.091,0.008,1.272,6327086.664,963,0.98,0,0.0
2,2020-1-6,2020-1-13,10000,25,random,stay,0.288,0.067,1.587,6324419.0,997,1.01,7,0.07
0,2020-1-6,2020-1-13,10000,25,nearest,stay,0.342,0.096,1.688,6334608.608,996,1.01,26,0.26
55,2020-1-6,2020-1-13,10000,35,poorest,stay,0.09,0.008,1.276,6369783.88,760,0.77,0,0.0
58,2020-1-6,2020-1-13,10000,35,poorest,ml_poorest_weighted,0.099,0.012,1.26,6457851.76,302,0.31,0,0.0
56,2020-1-6,2020-1-13,10000,35,random,stay,0.288,0.068,1.584,6359441.304,807,0.82,4,0.04
54,2020-1-6,2020-1-13,10000,35,nearest,stay,0.342,0.096,1.686,6360579.16,834,0.85,20,0.2
59,2020-1-6,2020-1-13,10000,35,random,ml_poorest_weighted,0.375,0.116,1.743,6434649.616,424,0.43,26,0.26
57,2020-1-6,2020-1-13,10000,35,nearest,ml_poorest_weighted,0.623,0.371,2.425,6387944.784,684,0.7,2,0.02
61,2020-5-4,2020-5-11,10000,35,poorest,stay,0.816,0.197,1.492,248712.808,5,0.15,6614,66.14
68,2020-5-4,2020-5-11,10000,35,poorest,ml_poorest_weighted,0.816,0.193,1.463,248365.488,3,0.09,6678,66.78
65,2020-5-4,2020-5-11,10000,35,poorest,ml_neutral_weighted,0.818,0.198,1.468,245392.576,7,0.2,6667,66.67
64,2020-5-4,2020-5-11,10000,35,nearest,ml_neutral_weighted,0.822,0.202,1.457,246484.312,0,0.0,6666,66.66
66,2020-5-4,2020-5-11,10000,35,random,ml_neutral_weighted,0.84,0.193,1.355,245181.696,7,0.2,6992,69.92
63,2020-5-4,2020-5-11,10000,35,nearest,ml_poorest,0.843,0.205,1.364,249389.536,0,0.0,7014,70.14
67,2020-5-4,2020-5-11,10000,35,nearest,ml_poorest_weighted,0.843,0.206,1.376,249341.12,0,0.0,7021,70.21
60,2020-5-4,2020-5-11,10000,35,nearest,stay,0.844,0.203,1.372,249823.44,0,0.0,7068,70.68
62,2020-5-4,2020-5-11,10000,35,random,stay,0.848,0.199,1.342,248566.496,8,0.23,7135,71.35
69,2020-5-4,2020-5-11,10000,35,random,ml_poorest_weighted,0.85,0.202,1.323,248182.816,9,0.26,7133,71.33
7,2020-1-6,2020-1-13,10000,50,poorest,stay,0.085,0.008,1.264,6378326.864,687,0.7,0,0.0
16,2020-1-6,2020-1-13,10000,50,poorest,ml_poorest_weighted,0.086,0.009,1.237,6478895.024,144,0.15,0,0.0
13,2020-1-6,2020-1-13,10000,50,poorest,ml_neutral_weighted,0.096,0.011,1.259,6339908.648,617,0.63,0,0.0
10,2020-1-6,2020-1-13,10000,50,poorest,ml_poorest,0.104,0.011,1.261,6343721.64,694,0.71,0,0.0
8,2020-1-6,2020-1-13,10000,50,random,stay,0.288,0.068,1.57,6373486.472,708,0.72,18,0.18
17,2020-1-6,2020-1-13,10000,50,random,ml_poorest_weighted,0.313,0.082,1.61,6440619.384,369,0.38,17,0.17
11,2020-1-6,2020-1-13,10000,50,random,ml_poorest,0.323,0.084,1.648,6330295.616,794,0.81,9,0.09
14,2020-1-6,2020-1-13,10000,50,random,ml_neutral_weighted,0.33,0.093,1.634,6377436.808,508,0.52,31,0.31
6,2020-1-6,2020-1-13,10000,50,nearest,stay,0.344,0.098,1.691,6380972.12,714,0.73,21,0.21
15,2020-1-6,2020-1-13,10000,50,nearest,ml_poorest_weighted,0.625,0.372,2.437,6400640.36,619,0.63,0,0.0
12,2020-1-6,2020-1-13,10000,50,nearest,ml_neutral_weighted,0.626,0.34,2.574,6220723.328,1915,1.95,0,0.0
9,2020-1-6,2020-1-13,10000,50,nearest,ml_poorest,0.642,0.394,2.522,6368770.792,742,0.75,0,0.0
40,2020-1-13,2020-1-20,20000,50,poorest,ml_poorest_weighted,0.132,0.017,1.376,6991926.024,248,0.23,0,0.0
37,2020-1-13,2020-1-20,20000,50,poorest,stay,0.142,0.02,1.44,7003739.952,386,0.36,0,0.0
38,2020-1-13,2020-1-20,20000,50,random,stay,0.371,0.111,1.789,7007096.04,356,0.33,207,1.03
41,2020-1-13,2020-1-20,20000,50,random,ml_poorest_weighted,0.391,0.123,1.81,7014009.664,259,0.24,217,1.08
36,2020-1-13,2020-1-20,20000,50,nearest,stay,0.397,0.125,1.853,7044331.52,145,0.13,239,1.2
39,2020-1-13,2020-1-20,20000,50,nearest,ml_poorest_weighted,0.624,0.349,2.515,7066404.032,38,0.04,31,0.15
46,2020-1-20,2020-1-27,20000,50,poorest,ml_poorest_weighted,0.138,0.018,1.397,6878459.272,172,0.17,0,0.0
43,2020-1-20,2020-1-27,20000,50,poorest,stay,0.149,0.022,1.463,6896999.384,244,0.24,0,0.0
44,2020-1-20,2020-1-27,20000,50,random,stay,0.383,0.117,1.813,6877732.312,311,0.3,251,1.26
47,2020-1-20,2020-1-27,20000,50,random,ml_poorest_weighted,0.397,0.127,1.815,6898991.968,132,0.13,281,1.41
42,2020-1-20,2020-1-27,20000,50,nearest,stay,0.398,0.126,1.857,6921449.616,179,0.17,250,1.25
45,2020-1-20,2020-1-27,20000,50,nearest,ml_poorest_weighted,0.626,0.353,2.51,6950219.752,23,0.02,34,0.17
52,2020-1-27,2020-2-3,20000,50,poorest,ml_poorest_weighted,0.128,0.016,1.362,6841055.024,165,0.16,0,0.0
49,2020-1-27,2020-2-3,20000,50,poorest,stay,0.145,0.021,1.443,6875085.04,186,0.18,0,0.0
50,2020-1-27,2020-2-3,20000,50,random,stay,0.375,0.111,1.789,6859974.688,249,0.24,279,1.4
53,2020-1-27,2020-2-3,20000,50,random,ml_poorest_weighted,0.383,0.118,1.787,6860661.144,133,0.13,248,1.24
48,2020-1-27,2020-2-3,20000,50,nearest,stay,0.394,0.124,1.841,6899659.16,120,0.12,243,1.21
51,2020-1-27,2020-2-3,20000,50,nearest,ml_poorest_weighted,0.613,0.337,2.455,6912986.344,21,0.02,37,0.18
34,2020-1-6,2020-1-13,20000,50,poorest,ml_poorest_weighted,0.14,0.02,1.407,6479959.712,139,0.14,0,0.0
25,2020-1-6,2020-1-13,20000,50,poorest,stay,0.151,0.023,1.461,6444154.376,445,0.45,0,0.0
31,2020-1-6,2020-1-13,20000,50,poorest,ml_neutral_weighted,0.153,0.023,1.407,6399528.76,379,0.39,0,0.0
28,2020-1-6,2020-1-13,20000,50,poorest,ml_poorest,0.167,0.027,1.46,6415523.72,420,0.43,0,0.0
26,2020-1-6,2020-1-13,20000,50,random,stay,0.383,0.117,1.81,6437418.448,465,0.47,283,1.42
35,2020-1-6,2020-1-13,20000,50,random,ml_poorest_weighted,0.39,0.122,1.807,6497312.84,138,0.14,296,1.48
32,2020-1-6,2020-1-13,20000,50,random,ml_neutral_weighted,0.391,0.122,1.789,6424430.424,292,0.3,331,1.65
29,2020-1-6,2020-1-13,20000,50,random,ml_poorest,0.401,0.127,1.866,6408330.04,503,0.51,277,1.39
24,2020-1-6,2020-1-13,20000,50,nearest,stay,0.404,0.13,1.871,6457255.624,427,0.43,264,1.32
33,2020-1-6,2020-1-13,20000,50,nearest,ml_poorest_weighted,0.613,0.334,2.47,6499352.504,238,0.24,51,0.26
27,2020-1-6,2020-1-13,20000,50,nearest,ml_poorest,0.624,0.346,2.524,6441139.192,452,0.46,40,0.2
30,2020-1-6,2020-1-13,20000,50,nearest,ml_neutral_weighted,0.668,0.371,2.867,6365578.736,701,0.71,0,0.0
22,2020-1-6,2020-1-13,25000,50,poorest,ml_poorest_weighted,0.167,0.026,1.481,6482515.04,132,0.13,0,0.0
19,2020-1-6,2020-1-13,25000,50,poorest,stay,0.181,0.032,1.538,6488178.408,281,0.29,0,0.0
20,2020-1-6,2020-1-13,25000,50,random,stay,0.417,0.133,1.895,6483581.168,311,0.32,749,3.0
23,2020-1-6,2020-1-13,25000,50,random,ml_poorest_weighted,0.421,0.137,1.882,6498248.152,136,0.14,686,2.74
18,2020-1-6,2020-1-13,25000,50,nearest,stay,0.433,0.144,1.949,6494655.344,285,0.29,662,2.65
21,2020-1-6,2020-1-13,25000,50,nearest,ml_poorest_weighted,0.6,0.311,2.435,6542486.672,33,0.03,145,0.58
4,2020-1-6,2020-1-13,5000,50,poorest,stay,0.051,0.003,1.157,6347238.32,792,0.81,0,0.0
5,2020-1-6,2020-1-13,5000,50,random,stay,0.206,0.035,1.39,6319313.952,1032,1.05,0,0.0
3,2020-1-6,2020-1-13,5000,50,nearest,stay,0.287,0.07,1.534,6344366.576,860,0.87,1,0.02
